trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
1002362,05:06:00,05:06:00,4717,0,,
1002362,05:07:00,05:07:00,487,1,,
1002362,05:09:00,05:09:00,266045,2,,
1005519,24:28:00,24:28:00,397946,0,,
1005519,24:30:00,24:30:00,265437,1,,
1005519,24:31:00,24:31:00,466669,2,,
1018904,13:05:00,13:05:00,221176,0,,
1018904,13:06:00,13:06:00,390332,1,,
