stop_name,stop_id,stop_lat,stop_lon
Alfter-Impekoven,8983,50.711018,7.019831
Alfter-Witterschlick,10606,50.689697,7.026083
Alfter-Witterschlick,14267,50.689697,7.026083
Alken st(DK),3517,56.0526,9.845772
Allendorf(Dillkr),8203,50.743813,8.185486
Allensbach,1955,47.714462,9.068852
Allensbach,9932,47.714462,9.068852
Allerheiligenhöfe,5769,47.26903,11.352969
Allersberg(Rothsee),14891,49.26213,11.212573
Allersberg(Rothsee),8173,49.26213,11.212573
Allmendingen,12652,48.327736,9.722382
Allmendingen,7913,48.327736,9.722382
Alpen,8267,51.583393,6.518041
Alpirsbach,5573,48.343807,8.398251
Alpirsbach,7116,48.343807,8.398251
Alsdorf Poststraße,999,50.855747,6.197075
Alsdorf(Westerw),1166,50.78089,7.890486
Alsdorf-Annapark,12741,50.870518,6.156661
Alsdorf-Busch,1354,50.876587,6.140586
Alsdorf-Kellersberg,13405,50.867527,6.167354
Alsdorf-Mariadorf,9616,50.861977,6.188454
Alsenz,11207,49.727493,7.817189
Alsenz,13592,49.727493,7.817189
Alsenz,8603,49.727493,7.817189
Alsfeld(Oberhess),14388,50.75096,9.264297
Alsfeld(Oberhess),6189,50.75096,9.264297
Alsfeld(Oberhess),838,50.75096,9.264297
Alsheim,2081,49.76553,8.342462
Alsheim,9327,49.76553,8.342462
Alt Hüttendorf,8957,52.957592,13.783574
Alt Rosenthal,142,52.550404,14.278627
Alt Rosenthal,14264,52.550404,14.278627
Altbach,11724,48.720394,9.382384
Altbach,14361,48.720394,9.382384
Altbach,8440,48.720394,9.382384
Altdorf West,6520,49.391148,11.341467
Altdorf(b Nürnberg),10901,49.390007,11.35353
Altdorf(b Nürnberg),13904,49.390007,11.35353
Altdöbern,1226,51.65278,14.009236
Alte Veste,4361,49.454323,10.972363
Altefähr,14626,54.322926,13.14101
Altefähr,5672,54.322926,13.14101
Altena(Westf),12616,51.301983,7.668808
Altena(Westf),917,51.301983,7.668808
Altenau(Bay),12538,47.648365,11.017375
Altenbach,2758,51.35587,12.682324
Altenbach,3279,51.35587,12.682324
Altenbamberg,3264,49.786858,7.830745
Altenbamberg,5753,49.786858,7.830745
Altenbeken,12499,51.766434,8.943319
Altenbeken,3755,51.766434,8.943319
Altenbeken,5817,51.766434,8.943319
Altenbeken,8459,51.766434,8.943319
Altenberge,2027,52.052258,7.481303
Altenberge,3790,52.052258,7.481303
Altenburg,10090,50.996647,12.444019
Altenburg,1627,50.996647,12.444019
Altenburg,1708,50.996647,12.444019
Altenerding,115,48.29357,11.901744
Altenerding,13263,48.29357,11.901744
Altenerding,6525,48.29357,11.901744
Altenfeld(Rhön),7227,50.450897,9.849726
Altenglan,12177,49.54864,7.461841
Altenglan,565,49.54864,7.461841
Altengörs,11916,53.898697,10.355554
Altenhasungen,974,51.34354,9.225737
Altenkirchen(Westerwald),12288,50.684418,7.638257
Altenkirchen(Westerwald),6150,50.684418,7.638257
Altenmarkt(Alz),2553,47.999817,12.536027
Altenseelbach,2291,50.783836,7.992398
Altenstadt(Hess),11341,50.283398,8.943977
Altenstadt(Hess),6278,50.283398,8.943977
Altenstadt(Iller),5173,48.16119,10.109983
Altenstadt(Iller),8546,48.16119,10.109983
Altenstadt(Waldnaab),12351,49.71568,12.16487
Altenstadt(Waldnaab),3485,49.71568,12.16487
Altenstadt-Höchst,7683,50.269768,8.923418
Altenstadt-Lindheim,5871,50.291332,8.978775
Altentreptow,4302,53.692234,13.242713
Altenwillershagen,1045,54.259407,12.572818
Altenwillershagen,4255,54.259407,12.572818
Altersbach,200,50.70064,10.544522
Altes Lager,3063,52.017357,12.989048
Altglashütten-Falkau,4324,47.85939,8.114113
Althegnenberg,2134,48.236374,11.063003
