stop_name,stop_id,stop_lat,stop_lon
Berlin Hbf (tief),1397,52.525593,13.369545
Berlin Hbf (tief),1426,52.525593,13.369545
Berlin Hbf (tief),321,52.525593,13.369545
Berlin Hbf (tief),56,52.525593,13.369545
Berlin Hbf (tief),744,52.525593,13.369545
Berlin Hbf (tief),80,52.525593,13.369545
Berlin Hbf (tief),896,52.525593,13.369545
Berlin Ostbahnhof,1178,52.510487,13.434681
Berlin Ostbahnhof,1181,52.510487,13.434681
Berlin Ostbahnhof,503,52.510487,13.434681
Berlin Ostbahnhof,541,52.510487,13.434681
Berlin Ostbahnhof,577,52.510487,13.434681
Berlin Ostbahnhof,768,52.510487,13.434681
Berlin Ostkreuz,284,52.503036,13.469105
Berlin Ostkreuz,311,52.503036,13.469105
Berlin Südkreuz,1055,52.475048,13.365319
Berlin Südkreuz,274,52.475048,13.365319
Berlin Südkreuz,699,52.475048,13.365319
Berlin Südkreuz,753,52.475048,13.365319
Berlin Südkreuz,897,52.475048,13.365319
Berlin Südkreuz,928,52.475048,13.365319
Berlin Wannsee,1010,52.42097,13.179528
Berlin Wannsee,58,52.42097,13.179528
Berlin Zoologischer Garten,1319,52.50728,13.331992
Berlin Zoologischer Garten,183,52.50728,13.331992
Berlin Zoologischer Garten,294,52.50728,13.331992
Berlin Zoologischer Garten,407,52.50728,13.331992
Berlin-Charlottenburg,90,52.50421,13.30233
Berlin-Lichtenberg,1119,52.510136,13.496693
Berlin-Spandau,1415,52.53465,13.196898
Berlin-Spandau,893,52.53465,13.196898
Berlin-Spandau,958,52.53465,13.196898
Berlin-Spandau,985,52.53465,13.196898
Bern,1200,46.948833,7.439131
Bern,1211,46.948833,7.439131
Bernau(b Berlin),655,52.675568,13.592641
Bernau(b Berlin),661,52.675568,13.592641
Biberach(Riß),1129,48.101845,9.793127
Biberach(Riß),85,48.101845,9.793127
Bielefeld Hbf,245,52.029263,8.532722
Bielefeld Hbf,475,52.029263,8.532722
Bingen(Rhein) Hbf,1258,49.968727,7.884263
Bingen(Rhein) Hbf,670,49.968727,7.884263
Bingen(Rhein) Hbf,715,49.968727,7.884263
Bischofshofen,112,47.41786,13.219888
Bischofshofen,239,47.41786,13.219888
Bitterfeld,106,51.62286,12.31685
Bitterfeld,1115,51.62286,12.31685
Bitterfeld,1232,51.62286,12.31685
Bitterfeld,861,51.62286,12.31685
Bludenz,450,47.154724,9.814564
Bludenz,95,47.154724,9.814564
Bochnia,1316,49.9773,20.430775
Bochum Hbf,210,51.478607,7.223275
Bochum Hbf,376,51.478607,7.223275
Bochum Hbf,700,51.478607,7.223275
Bochum Hbf,772,51.478607,7.223275
Bochum Hbf,777,51.478607,7.223275
Bohumin,293,49.90073,18.359444
Bohumin(Gr),1301,49.916576,18.322226
Bologna Centrale,1261,44.50614,11.343411
Bolzano/Bozen,945,46.496376,11.358791
Bondorf(b Herrenberg),1125,48.523552,8.827662
Bondorf(b Herrenberg),1201,48.523552,8.827662
Bonn Hbf,1321,50.73201,7.097136
Bonn Hbf,181,50.73201,7.097136
Bonn Hbf,887,50.73201,7.097136
Bonn-Bad Godesberg,1219,50.683926,7.159555
Bonn-Beuel,1409,50.738476,7.127657
Borovnica,581,45.921318,14.367972
Brandenburg Hbf,347,52.400555,12.566138
Brandenburg Hbf,499,52.400555,12.566138
Brandenburg Hbf,557,52.400555,12.566138
Bratislava hl.st.,1388,48.15891,17.106466
Braunschweig Hbf,340,52.252216,10.540295
Braunschweig Hbf,902,52.252216,10.540295
Breclav,1259,48.7539,16.893236
Breclav(Gr),1109,48.71265,16.86837
Bregenz,1378,47.503002,9.739627
Bregenz,170,47.503002,9.739627
Bregenz,428,47.503002,9.739627
Bregenz,589,47.503002,9.739627
Bregenz,691,47.503002,9.739627
Bregenz,831,47.503002,9.739627
Bremen Hbf,1092,53.08348,8.813834
Bremen Hbf,1266,53.08348,8.813834
Bremen Hbf,1364,53.08348,8.813834
Bremen Hbf,1398,53.08348,8.813834
Bremen Hbf,285,53.08348,8.813834
Bremen Hbf,488,53.08348,8.813834
Bremen Hbf,573,53.08348,8.813834
Bremen Hbf,792,53.08348,8.813834
Bremerhaven Hbf,1204,53.534912,8.599555
Bremerhaven Hbf,838,53.534912,8.599555
Bremerhaven-Lehe,234,53.566322,8.600657
Bremerhaven-Lehe,564,53.566322,8.600657
Brennero/Brenner,117,47.002342,11.505426
Bressanone/Brixen,1348,46.709896,11.649764
Brig,224,46.319424,7.988095
Brno hl.n.,70,49.19054,16.612774
Brno-Kralovo Pole,869,49.230976,16.596693
Bruchsal,1077,49.124622,8.589649
Bruchsal,745,49.124622,8.589649
Bruchsal,811,49.124622,8.589649
Bruck/Mur,1148,47.41383,15.279433
Bruck/Mur,438,47.41383,15.279433
Bruxelles Midi,1015,50.835377,4.335694
Bruxelles Midi,1126,50.835377,4.335694
Bruxelles Midi,1176,50.835377,4.335694
Bruxelles Midi,1236,50.835377,4.335694
Bruxelles Midi,336,50.835377,4.335694
Bruxelles Midi,375,50.835377,4.335694
Bruxelles Midi,38,50.835377,4.335694
Bruxelles Midi,607,50.835377,4.335694
Bruxelles Midi,747,50.835377,4.335694
Bruxelles Midi,942,50.835377,4.335694
Bruxelles-Nord,131,50.860237,4.361454
Bruxelles-Nord,1416,50.860237,4.361454
Bruxelles-Nord,302,50.860237,4.361454
Bruxelles-Nord,84,50.860237,4.361454
Brzeg,215,50.85297,17.471178
Buchloe,1019,48.033722,10.716217
Buchloe,1067,48.033722,10.716217
Buchloe,295,48.033722,10.716217
Buchloe,901,48.033722,10.716217
Budapest-Déli,662,47.498535,19.025288
Budapest-Kelenföld,866,47.464355,19.020456
Budapest-Keleti,1098,47.50038,19.085072
Budapest-Nyugati,788,47.510708,19.057467
Bydgoszcz Glowna,254,53.135113,17.991636
Böblingen,1061,48.68776,9.004128
Böblingen,584,48.68776,9.004128
Böblingen,592,48.68776,9.004128
Büchen,1226,53.47497,10.623298
Büchen,289,53.47497,10.623298
Bünde(Westf),1134,52.202076,8.573876
Bünde(Westf),796,52.202076,8.573876
Bützow,560,53.837112,11.998194
Bützow,824,53.837112,11.998194
Celle,149,52.620457,10.062468
Celle,730,52.620457,10.062468
Chalupki,786,49.925476,18.311562
Chiasso,26,45.83217,9.03145
Chur,613,46.853085,9.528938
Chur,649,46.853085,9.528938
