stop_name,stop_id,stop_lat,stop_lon
Alfter-Impekoven,10041,50.711018,7.019831
Alfter-Impekoven,12259,50.711018,7.019831
Alfter-Witterschlick,10145,50.689697,7.026083
Alfter-Witterschlick,3668,50.689697,7.026083
Alken st(DK),8771,56.0526,9.845772
Allendorf(Dillkr),1219,50.743813,8.185486
Allensbach,10354,47.714462,9.068852
Allensbach,9805,47.714462,9.068852
Allerheiligenhöfe,8698,47.26903,11.352969
Allersberg(Rothsee),15038,49.26213,11.212573
Allersberg(Rothsee),7728,49.26213,11.212573
Allmendingen,12830,48.327736,9.722382
Allmendingen,14032,48.327736,9.722382
Alpen,8341,51.583393,6.518041
Alpirsbach,11248,48.343807,8.398251
Alpirsbach,8886,48.343807,8.398251
Alsdorf Poststraße,11512,50.855747,6.197075
Alsdorf(Westerw),1844,50.78089,7.890486
Alsdorf-Annapark,7812,50.870518,6.156661
Alsdorf-Busch,2869,50.876587,6.140586
Alsdorf-Kellersberg,12396,50.867527,6.167354
Alsdorf-Mariadorf,9938,50.861977,6.188454
Alsenz,1000,49.727493,7.817189
Alsenz,14014,49.727493,7.817189
Alsenz,5555,49.727493,7.817189
Alsfeld(Oberhess),1355,50.75096,9.264297
Alsfeld(Oberhess),4432,50.75096,9.264297
Alsfeld(Oberhess),7371,50.75096,9.264297
Alsheim,2908,49.76553,8.342462
Alsheim,9163,49.76553,8.342462
Alt Hüttendorf,1413,52.957592,13.783574
Alt Rosenthal,13930,52.550404,14.278627
Alt Rosenthal,4548,52.550404,14.278627
"Alt Rosenthal, Bahnhof",2588,52.548542,14.277407
"Alt Rosenthal, Bahnhof",9374,52.548542,14.277407
Altbach,5349,48.720394,9.382384
Altbach,6150,48.720394,9.382384
Altdorf West,1131,49.391148,11.341467
Altdorf(b Nürnberg),12257,49.390007,11.35353
Altdorf(b Nürnberg),7897,49.390007,11.35353
Altdöbern,15129,51.65278,14.009236
Alte Veste,14413,49.454323,10.972363
Altefähr,480,54.322926,13.14101
Altefähr,9773,54.322926,13.14101
Altena(Westf),6624,51.301983,7.668808
Altena(Westf),6679,51.301983,7.668808
Altenau(Bay),14928,47.648365,11.017375
Altenbach,6296,51.35587,12.682324
Altenbach,7131,51.35587,12.682324
Altenbamberg,12092,49.786858,7.830745
Altenbamberg,5712,49.786858,7.830745
Altenbeken,13358,51.766434,8.943319
Altenbeken,9069,51.766434,8.943319
Altenbeken,9426,51.766434,8.943319
Altenbeken,9535,51.766434,8.943319
Altenberge,3268,52.052258,7.481303
Altenberge,4554,52.052258,7.481303
Altenerding,10177,48.29357,11.901744
Altenerding,2125,48.29357,11.901744
Altenfeld(Rhön),6000,50.450897,9.849726
Altenglan,13739,49.54864,7.461841
Altenglan,9172,49.54864,7.461841
Altengörs,14334,53.898697,10.355554
Altenhasungen,9927,51.34354,9.225737
Altenkirchen(Westerwald),10129,50.684418,7.638257
Altenkirchen(Westerwald),4398,50.684418,7.638257
Altenmarkt(Alz),11783,47.999817,12.536027
Altenseelbach,351,50.783836,7.992398
Altenstadt(Hess),1051,50.283398,8.943977
Altenstadt(Hess),5164,50.283398,8.943977
Altenstadt(Iller),7201,48.16119,10.109983
Altenstadt(Iller),924,48.16119,10.109983
Altenstadt(Waldnaab),11513,49.71568,12.16487
Altenstadt(Waldnaab),2996,49.71568,12.16487
Altenstadt-Höchst,4183,50.269768,8.923418
Altenstadt-Lindheim,9463,50.291332,8.978775
Altenwillershagen,2078,54.259407,12.572818
Altenwillershagen,5683,54.259407,12.572818
Altersbach,11164,50.70064,10.544522
Altes Lager,7130,52.017357,12.989048
Altglashütten-Falkau,6615,47.85939,8.114113
Althegnenberg,12606,48.236374,11.063003
Althegnenberg,13344,48.236374,11.063003
Altheim(Hess),430,49.923332,8.890906
Altheim(Hess),8122,49.923332,8.890906
